,O.D.,Actual,Predicted_1,Predicted_3,Difference,%Difference
0,Mean,Mean,1st-order,3rd-order,3rd-1st,
1,0.057499999999999996,125,-64.06324280176855,98.35100645622025,162.41424925798879,-253.52174219551858
2,0.124,250,130.21128776185083,263.19829510233626,132.98700734048543,102.13170426799807
3,0.2255,500,426.7355712536909,511.7157703467341,84.98019909304315,19.914018145565628
4,0.4385,1000,1048.9983533597199,1024.973697809124,-24.02465555059598,-2.2902472128435747
5,0.8314999999999999,2000,2197.1170076680264,1968.2381999777424,-228.87880769028402,-10.417233442346848
6,1.6085,4000,4467.061522674528,4010.2272247021597,-456.83429797236795,-10.226729487684585
7,2.7045000000000003,8000,7668.939500083954,7998.189948236915,329.2504481529613,4.293298286540883
