Order,Coef. Symbol,Coefficient Value, Coefficient SE,t-test,df,Std Error Regression
First,beta 0,0.07258333333333312,0.02553014535555046,2.843044264828399
First,beta 1,0.00036493963254593197,7.31233713291461e-06,49.90738609455653,12,0.0726287687270454

Second,beta 0,0.012272230503609855,0.01713026889055282,0.7164061803126671
Second,beta 1,0.00044726889714291433,1.4994797705766835e-05,29.8282715058503
Second,beta 2,-1.0369375345575786e-08,1.825261640978347e-09,-5.681035043292622,11,0.0382459088467118

Third,beta 0,0.008293194559301172,0.023666770693948926,0.3504151312634114
Third,beta 1,0.00045817357739083727,4.5211001229076904e-05,10.134117027608946
Third,beta 2,-1.4550046407515084e-08,1.6369596820782037e-08,-0.8888457404792682
Third,beta 3,3.6139984928048077e-13,1.4054305703233938e-12,0.257145288363353,10,0.03998068188219228

Forth,beta 0,1.5438182198335849e-06,1.9049833050316065e-07,8.104103672488462
Forth,beta 1,0.00048667505849296167,6.005287605738275e-05,8.104109085931631
Forth,beta 2,-3.629978129832811e-08,6.162448861610827e-08,-0.5890479923404924
Forth,beta 3,5.653263757655288e-12,1.7033297348675077e-11,0.3318948552315987
Forth,beta 4,-3.753216010730911e-16,1.2844517441002778e-15,-0.29220373812952644,10,0.04004915602386536
